,Unnamed: 0,frame_number,x_angle,y_angle,z_angle,product 0,product 1,product 2,product 3,product 4,product 5,product 6,seconds
60,60,748,-6.401131,-24.410461,7.10405,38168.4210007098,40874.92892764039,59272.9062099965,43848.69555650868,61092.391070325706,66494.64213176654,67342.52974329329,24.933333333333334
61,61,749,-4.32917,-22.835594,6.715271,38659.97582728543,39440.586830965665,56619.03189560804,44855.17035240669,60424.241665334375,68428.99843194718,67842.79291982851,24.966666666666665
62,62,750,-5.649208,-23.946541,7.272689999999999,38305.37313220296,40330.696872126726,58303.357057178204,44074.693652383234,60731.46331354126,67020.43271569378,67367.37393406652,25.0
63,63,751,-5.6176910000000015,-23.238754,7.029167,38222.05876346446,40192.45020833553,58218.2541060366,44714.604270412034,61316.85990621369,68039.1200255619,68224.26821137029,25.033333333333335
64,64,752,-5.455498,-23.884918,6.998428,38358.71016982228,40208.35149279828,58060.31809243775,44087.582060141045,60592.359303313446,67075.77721552386,67305.79509507335,25.066666666666666
65,65,753,-5.5959400000000015,-23.597549,6.980377000000002,38271.426081798905,40236.11511415754,58211.65245891712,44378.75199092108,60980.385300068905,67515.3236990085,67761.73441045883,25.1
66,66,754,-5.996826,-23.884399,7.189438000000001,38188.65259983237,40521.966587210685,58726.788848077595,44211.44196805693,61131.18599665555,67172.96975607035,67693.20826101949,25.133333333333333
67,67,755,-6.354759,-24.166237,7.0877690000000015,38134.55649605164,40793.72471767398,59192.65426620656,44050.480373696126,61250.634460482404,66835.87522485644,67606.66579571164,25.166666666666668
68,68,756,-7.195015,-23.947876,6.827057000000001,37892.53722024352,41284.364217500886,60222.33469226372,44480.43940613998,62287.670779797205,67324.46011711386,68493.33780320903,25.2
69,69,757,-7.043671000000002,-24.873756,6.892608999999998,38112.27504779181,41388.97618403002,60118.670734358246,43632.660224483596,61364.696379855086,65967.1664627782,67258.81869528655,25.233333333333334
70,70,758,-7.895241,-25.648674,7.820778,38156.63678551089,42166.52499564131,61278.18987890322,43270.13166994968,61629.33813142446,65066.90848086872,66986.3213444426,25.266666666666666
71,71,759,-7.205307,-27.61879,9.160881,39028.29884268199,42457.82231350674,60825.49843802398,41577.7043170457,59449.03903049747,62146.012293763,64171.34234939033,25.3
72,72,760,-9.010826,-28.491699,8.85807,39192.85775298868,44058.84227318826,63249.47448243765,41659.604156205154,60768.067394448924,61419.08667367392,64636.730785883636,25.333333333333332
73,73,761,-8.275360000000001,-26.739502,8.199211,38475.70615169384,42794.72095780895,61935.485300234905,42568.687133158994,61204.17652185599,63633.89441592447,66015.22167892888,25.366666666666667
74,74,762,-10.209656,-26.461655,8.803908999999997,38229.995618725625,44111.38111255651,64308.436415661105,43572.0496465555,63478.300136436395,64575.43470020192,67894.68744488181,25.4
75,75,763,-9.28476,-26.392067,7.3487550000000015,38240.848127874284,43387.94363856319,63130.38508693554,43220.905333711366,62533.433657537214,64394.97048231767,67220.24307340544,25.433333333333334
76,76,764,-10.732895,-24.531799,7.3174899999999985,37671.29606116745,44019.41646071257,64771.571017161266,45347.35217968013,65529.53465285197,67444.33894261782,70561.29135152497,25.466666666666665
77,77,765,-10.529709,-22.695534,6.149475,37408.2981181393,43608.52175413205,64475.872791574,46884.670031583795,66845.25058839803,69999.27593320921,72598.36668626065,25.5
78,78,766,-10.668747,-23.801125,6.680573,37534.00920383993,43842.181229717404,64657.38820887463,45946.6057199497,66056.43009266503,68460.31963364207,71376.02813471494,25.533333333333335
79,79,767,-10.826462,-23.113602,5.560501,37450.29994058571,43890.09484134128,64858.03109530503,46635.915477630486,66803.99217506072,69491.23452416563,72329.89054991989,25.566666666666666
80,80,768,-11.806244,-23.970398,4.979851,37632.393969145465,44831.656539420735,66152.01667363405,46357.745958695086,67153.43436447992,68593.92908247361,72111.18819420553,25.6
81,81,769,-10.795547,-23.092316,3.5476910000000004,37447.155792520825,43862.202764507296,64817.661140703356,46640.86741180804,66788.88110267438,69512.00286222642,72330.59870561535,25.633333333333333
82,82,770,-11.206223,-23.35183,3.108246,37494.49129501559,44235.24448214781,65355.750010089716,46601.80306117458,67012.32492794983,69272.30348187454,72352.1790271575,25.666666666666668
83,83,771,-10.836212,-22.384201,2.6539,37399.02366977317,43846.45737636704,64889.74634285803,47317.51676913106,67444.69922398793,70542.10292301263,73224.50012476278,25.7
84,84,772,-10.983795,-22.670578,2.198257,37420.05672681816,43986.92373746986,65073.744795622166,47118.09830452638,67353.69998535892,70176.36553987244,72994.24207918688,25.733333333333334
85,85,773,-10.700684,-23.057404,1.5821,37441.02784220144,43779.819117159066,64693.591923241525,46628.67760455007,66716.76279382128,69532.38679934564,72296.20226830685,25.766666666666666
86,86,774,-10.945267,-23.942856,1.695358,37565.97642286076,44092.75952982515,65022.02984465267,45953.044851557235,66238.04391545289,68346.53524165282,71432.4175715546,25.8
87,87,775,-10.717247,-23.06279,1.0115889999999998,37441.97732772248,43794.105876172456,64715.25291388232,46631.418708924815,66729.94424628187,69529.82405861582,72303.0485065267,25.833333333333332
88,88,776,-11.092155,-23.051407,0.922501,37455.76211630877,44108.243999161066,65207.93243471028,46818.64945763909,67143.34712281635,69664.76547467746,72620.70500672936,25.866666666666667
89,89,777,-11.030563,-21.76722,0.98967,37397.36416121971,43996.83699005108,65182.75741761106,47999.46591415278,68199.52441299218,71494.58510217538,74138.94043793442,25.9
90,90,778,-10.876442,-20.80687,0.308792,37437.04346496719,43895.11959050413,65069.505233589756,48881.16843330538,68910.84476368409,72844.52728923768,75211.60534630503,25.933333333333334
91,91,779,-10.60321,-21.654984,0.377151,37384.40877081987,43635.403123101496,64625.34437259428,47912.3942196272,67844.46340102302,71525.43851368183,73936.51602783326,25.966666666666665
92,92,780,-11.184174,-21.390320000000006,-0.075058,37414.994910225214,44133.316272947726,65418.11064301,48440.940336829015,68703.73012540981,72090.02453701112,74728.91111495142,26.0
93,93,781,-10.76844,-21.543266,-0.07699600000000001,37391.05019993681,43775.237477348455,64852.73679218487,48096.84486650818,68121.18553831798,71738.05670383,74206.51366154331,26.033333333333335
94,94,782,-11.144691,-21.00631,0.567612,37434.04003228652,44113.963992557045,65404.29117427051,48804.40199092571,69012.24513927862,72636.63494648723,75175.46202266631,26.066666666666666
95,95,783,-10.566093,-21.442116,0.468636,37389.492411670886,43606.67752466908,64593.37076054543,48105.09664912754,67997.84723587506,71823.63477000779,74171.57446214778,26.1
96,96,784,-10.72419,-21.161125,0.968285,37406.18748158839,43747.60652384388,64828.75634180237,48455.42772447648,68422.29807117909,72280.73764612345,74647.22840250758,26.133333333333333
97,97,785,-10.335426,-21.53598,1.457504,37384.6108862837,43413.63010988541,64281.02716546312,47910.500067024856,67668.23224088011,71618.3373643316,73872.5788710258,26.166666666666668
98,98,786,-10.421875,-21.929558,1.6767880000000002,37380.18649686618,43486.30524854616,64367.38739602145,47564.18255647615,67405.22261958879,71072.60275648504,73452.7383231282,26.2
